CODE	ITEM DESCRIPTION	DURATION CATEGORY	RETAILER LOSS	CONSUMER LOSS	AVG DURATION
1	COLD JUICE	JUICE	5.75	9.2	10
2	FROZEN FRUIT	FROZEN FRUIT	6	11	150
3	APPLE	APPLES	8.66	18.34	21
4	APRICOT	APRICOTS	34.67	13.33	4
5	BANANA	BANANAS	7.85	18.15	4
6	BLUEBERRY	BERRIES	5.33	19.11	2
7	CHERRIES	CHERRIES	3.89	19.11	2
8	GRAPES	GRAPES	7.57	18.43	7
9	HONEYDEW	MELONS	22.54	15.24	4
10	KIWI	KIWI	12.31	16.92	4
11	LEMONS	CITRUS	7.07	18.93	10
12	LIMES	CITRUS	8.48	18.66	10
13	MANGO	MANGO	14.67	17.33	7
14	ORANGES	CITRUS	11.47	17.53	10
15	PEACH	PEACH	11.47	17.53	4
16	PEAR	PEAR	17.5	16.39	4
17	PLUM	PLUM	17.38	16.62	4
18	RASPBERRY	BERRIES	9.33	17.33	2
19	STRAWBERRY	BERRIES	9.82	18.18	2
20	TANGERINES	CITRUS	20.22	15.78	10
21	WATERMELON	MELONS	16.56	16.44	4
22	ASPARAGUS	ASPARAGUS	9.64	18.36	4
23	FROZEN VEGETABLE	FROZEN VEGETABLE	6	15	240
24	BROCCOLI	BROCCOLI	12.1	17.84	4
25	CAULIFLOWER	CAULIFLOWER	14.03	17.2	4
26	CABBAGE	CABBAGE	13.96	17.04	10
27	CARROTS	CARROTS	5.1	18.9	21
28	CELERY	CELERY	5.09	18.91	10
29	CANNED VEGETABLES	CANNED	5.85	9.15	1250
30	CORN	CORN	0.61	31.39	7
31	CUCUMBER	CUCUMBER	6.17	18.83	5
32	FROZEN CORN	FROZEN VEGETABLE	5.93	13.07	240
33	LETTUCE HEAD	ICEBURG LETTUCE	8.73	18.27	10
34	LETTUCE LEAF	LETTUCE LEAF	13.85	17.15	5
35	CANNED SAUERKRAUT	CANNED SAUERKRAUT	6	18	545
36	MUSHROOM	MUSHROOM	12.71	17.43	3
37	ONIONS- DRY	ONIONS- DRY	9.68	31.32	60
38	ONIONS- GREEN	ONIONS- GREEN	9.68	31.32	10
39	POTATO	POTATO	5.99	30.01	45
40	RADISH	RADISH	21.14	15.86	12
41	SPINACH	SPINACH	14.59	17.41	2
42	SUMMER SQUASH	SUMMER SQUASH	12.46	17.54	5
43	WINTER SQUASH	WINTER SQUASH	12.46	17.54	14
44	BELL PEPPERS	BELL PEPPERS	7.71	18.29	5
45	TOMATO	TOMATO	13.38	17.62	4
46	BEANS	DRIED BEANS	5.83	9.17	365
47	BUTTERMILK	MILK	12	20	10
48	MILK	MILK	12	20	7
49	BUTTER	BUTTER	12	19	60
50	HARD CHEESE	HARD CHEESE	12	19	60
51	SHREDDED CHEESE	SHREDDED CHEESE	12	19	30
52	PROCESSED CHEESE	PROCESSED CHEESE	12	19	45
53	SOFT CHEESE	SOFT CHEESE	12	19	7
54	COTTAGE CHEESE	COTTAGE CHEESE	12	19	7
55	CREAM CHEESE	CREAM CHEESE	12	19	14
56	CANNED MILK	CANNED MILK	11	20	1250
57	CREAM	CREAM	12	19	4
58	DIPS	DIPS	12	19	14
59	EGGNOG	EGGNOG	12	19	4
60	ICE CREAM	ICE CREAM	12	19	90
61	MARGARINE	MARGARINE	12	19	180
62	PUDDING	PUDDING	12	19	24
63	SOUR CREAM	SOUR CREAM	12	19	14
64	YOGURT	YOGURT	12	19	10
65	SHORTENING	SHORTENING	21	17	240
66	EGGS	EGG	7	21	30
67	RAW FISH	FISH	8.7	31	2
68	FROZEN RAW FISH	FROZEN RAW FISH	8.7	31	180
69	FROZEN SHELLFISH	FROZEN SHELLFISH	8.7	31	365
70	SHRIMP	SHRIMP	9.3	31	2
71	SHELLFISH	CLAMS	9.3	31	2
72	FROZEN BREADED SEAFOOD	FROZEN BREADED SEAFOOD	8.7	31	135
73	CANNED FISH	CANNED	8.7	31	240
74	CANNED FOWL	CANNED	4	18	1250
75	FROZEN FOWEL	FROZEN RAW FISH	4	18	180
76	WHOLE CHICKEN	WHOLE CHICKEN	4	18	2
77	WHOLE TURKEY	WHOLE TURKEY	3.5	18	2
78	PARTED CHICKEN	PARTED CHICKEN	4	18	2
79	PARTED TURKEY	PARTED TURKEY	3.5	18	2
80	GROUND TURKEY	GROUND TURKEY	3.5	18	2
81	COOKED CHICKEN	COOKED CHICKEN	4	18	4
82	GROUND CHICKEN	GROUND CHICKEN	4	18	2
83	COOKED TURKEY	COOKED TURKEY	3.5	18	4
84	TURKEY LUNCHMEAT	TURKEY LUNCHMEAT	3.5	18	5
85	BEEF CUTS	ROASTS	4.3	22	5
86	PORK CUTS	ROASTS	4.4	22	5
87	LAMB CUTS	ROASTS	12.3	22	5
88	BEEF VARIETY	BEEF VARIETY	4.3	22	2
89	PORK VARIETY	PORK VARIETY	4.4	22	2
90	LAMB VARIETY	LAMB VARIETY	12.3	22	2
91	GROUND BEEF	GROUND MEAT	4.3	22	2
92	COOKED BEEF	COOKED MEAT	4.3	22	4
93	COOKED PORK	COOKED MEAT	4.4	22	4
94	BACON	BACON	4.4	22	7
95	FROZEN MEAT	FROZEN RAW FISH	4	23	180
