grant_title,id,organization,total_amount,group,start_year
APPLES WHOLE,1,FRESH FRUIT,0.42,LOW,1
BACON,2,MEAT,2.1,MEDIUM,1
BEEF,3,MEAT,12.17,HIGH,1
BUTTER,4,DAIRY,3.66,MEDIUM,1
CANNED FRUIT,5,PROCESSED FRUIT,0.69,LOW,1
CANNED JUICE,6,PROCESSED FRUIT,1.64,LOW,1
CANNED MEAT,7,MEAT,1.58,LOW,1
CANNED VEGETABLE,8,PROCESSED VEGETABLES,0.53,LOW,1
CHIPS,9,PROCESSED VEGETABLES,2.66,MEDIUM,1
COLD JUICE,10,PROCESSED FRUIT,3.58,MEDIUM,1
CONDIMENT,11,PROCESSED VEGETABLES,0.53,LOW,1
COOKED BEEF,12,MEAT,2.75,MEDIUM,1
COOKED CHICKEN,13,FOWL,0.8,LOW,1
COOKED SAUSAGE,14,MEAT,0,LOW,1
CREAM,15,DAIRY,2.85,MEDIUM,1
CUCUMBERS,16,FRESH VEGETABLES,5.34,HIGH,1
DRIED FRUIT,17,PROCESSED FRUIT,0.21,LOW,1
EGG NOG,18,DAIRY,1.2,LOW,1
FROZEN FRUIT,19,PROCESSED FRUIT,0.16,LOW,1
FROZEN JUICE,20,PROCESSED FRUIT,0.49,LOW,1
FROZEN MEAT,21,MEAT,2.4,MEDIUM,1
FRZN MULTI SERVE ENTREES ALL,22,FISH,1.29,LOW,1
HARD CHEESE,23,DAIRY,0.82,LOW,1
ICE CREAM,24,DAIRY,4.99,MEDIUM,1
JERKY,25,MEAT,4.16,MEDIUM,1
LETTUCE LEAF,26,FRESH VEGETABLES,0.94,LOW,1
LUNCHMEAT,27,MEAT,4.1,MEDIUM,1
MILK,28,MILK,8.04,HIGH,1
MUSHROOMS,29,FRESH VEGETABLES,1.75,LOW,1
OLIVES,30,PROCESSED VEGETABLES,3.25,MEDIUM,1
PORK,31,MEAT,1.04,LOW,1
POTATOES,32,FRESH VEGETABLES,1.93,LOW,1
PROCESSED CHEESE,33,DAIRY,2.76,MEDIUM,1
PUDDING,34,DAIRY,1.19,LOW,1
RAW SAUSAGE,35,MEAT,3.2,MEDIUM,1
ROTISSERIE,36,FOWL,0.83,LOW,1
SOFT CHEESE,37,DAIRY,0.6,LOW,1
SOUR CREAMS,38,DAIRY,0.45,LOW,1
TOMATO SAUCE,39,PROCESSED VEGETABLES,0.3,LOW,1
TOMATOES,40,FRESH VEGETABLES,0.8,LOW,1
WHIPPED CREAM,41,DAIRY,11.08,HIGH,1
YOGURT,42,DAIRY,2.9,MEDIUM,1
APPLES WHOLE,43,FRESH FRUIT,2.65,MEDIUM,2
BEANS,44,PROCESSED VEGETABLES,0.56,LOW,2
BEEF,45,MEAT,3.44,MEDIUM,2
CANNED FRUIT,46,PROCESSED FRUIT,4.15,MEDIUM,2
CANNED JUICE,47,PROCESSED FRUIT,3.39,MEDIUM,2
CANNED MEAT,48,MEAT,0.81,LOW,2
CANNED VEGETABLE,49,PROCESSED VEGETABLES,2.11,MEDIUM,2
CARROTS,50,FRESH VEGETABLES,1.18,LOW,2
CHIPS,51,PROCESSED VEGETABLES,1.41,LOW,2
COLD JUICE,52,PROCESSED FRUIT,11.12,HIGH,2
CONDIMENT,53,PROCESSED VEGETABLES,0.86,LOW,2
COOKED BEEF,54,MEAT,5.55,HIGH,2
COOKED PORK,55,MEAT,2.76,MEDIUM,2
CREAM,56,DAIRY,0.29,LOW,2
CUCUMBERS,57,FRESH VEGETABLES,5.46,HIGH,2
DRIED FRUIT,58,PROCESSED FRUIT,0.25,LOW,2
EGG NOG,59,DAIRY,4.8,MEDIUM,2
FRESH FISH,60,FISH,0.55,LOW,2
FROZEN MEAT,61,MEAT,2.44,MEDIUM,2
FROZEN SHELLFISH,62,FISH,5.55,HIGH,2
FRZN MULTI SERVE ENTREES ALL,63,FISH,1.4,LOW,2
HARD CHEESE,64,DAIRY,5.05,HIGH,2
ICE CREAM,65,DAIRY,1.9,LOW,2
JERKY,66,MEAT,0.63,LOW,2
LETTUCE LEAF,67,FRESH VEGETABLES,0.78,LOW,2
LUNCHMEAT,68,MEAT,1.26,LOW,2
MILK,69,MILK,7.89,HIGH,2
MUSHROOMS,70,FRESH VEGETABLES,2.16,MEDIUM,2
OLIVES,71,PROCESSED VEGETABLES,1.96,LOW,2
PORK,72,MEAT,9.02,HIGH,2
POTATOES,73,FRESH VEGETABLES,5.8,HIGH,2
PROCESSED CHEESE,74,DAIRY,4.47,MEDIUM,2
RAW SAUSAGE,75,MEAT,8.46,HIGH,2
SALSA,76,PROCESSED VEGETABLES,0.74,LOW,2
SHREDDED CHEESE,77,DAIRY,0.89,LOW,2
SOFT CHEESE,78,DAIRY,6.37,HIGH,2
SOUR CREAMS,79,DAIRY,0.25,LOW,2
TOMATO SAUCE,80,PROCESSED VEGETABLES,4.82,MEDIUM,2
TOMATOES,81,FRESH VEGETABLES,3.08,MEDIUM,2
WHIPPED CREAM,82,DAIRY,12.86,HIGH,2
YOGURT,83,DAIRY,1.3,LOW,2
APPLES WHOLE,84,FRESH FRUIT,2.17,MEDIUM,3
BACON,85,MEAT,2.49,MEDIUM,3
BEANS,86,PROCESSED VEGETABLES,0.66,LOW,3
BEEF,87,MEAT,5.42,HIGH,3
BUTTER,88,DAIRY,5.82,HIGH,3
CANNED FRUIT,89,PROCESSED FRUIT,0.46,LOW,3
CANNED JUICE,90,PROCESSED FRUIT,2.99,MEDIUM,3
CANNED MEAT,91,MEAT,4.3,MEDIUM,3
CANNED VEGETABLE,92,PROCESSED VEGETABLES,1.96,LOW,3
CARROTS,93,FRESH VEGETABLES,0.48,LOW,3
CHERRIES,94,FRESH FRUIT,0.1,LOW,3
CHIPS,95,PROCESSED VEGETABLES,0.88,LOW,3
COLD JUICE,96,PROCESSED FRUIT,6.67,HIGH,3
CONDIMENT,97,PROCESSED VEGETABLES,0.79,LOW,3
COOKED BEEF,98,MEAT,3.85,MEDIUM,3
CREAM,99,DAIRY,0.66,LOW,3
CUCUMBERS,100,FRESH VEGETABLES,7.5,HIGH,3
DAIRY DIPS,101,DAIRY,1.21,LOW,3
DRIED FRUIT,102,PROCESSED FRUIT,0.43,LOW,3
EGG NOG,103,DAIRY,0.77,LOW,3
FRESH FISH,104,FISH,5.19,HIGH,3
FROZEN FISH,105,FISH,0.35,LOW,3
FROZEN FISHSTICKS,106,FISH,0.3,LOW,3
FROZEN MEAT,107,MEAT,2.28,MEDIUM,3
FROZEN SHELLFISH,108,FISH,0.69,LOW,3
FRZN MULTI SERVE ENTREES ALL,109,FISH,1.21,LOW,3
HAM,110,MEAT,1.36,LOW,3
HARD CHEESE,111,DAIRY,7.37,HIGH,3
