ts,id,x,y,x_min,x_max,y_min,y_max
"2013-11-03 18:01:09.000000","1","52.95","43.58","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","2","26.94","29.48","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","5","35.47","30.53","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","7","41.53","38.53","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","8","28.67","39.41","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","9","32.25","12.72","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","10","45.16","14.44","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","12","74.59","71.04","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","13","21.47","17.4","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","14","28.41","17.62","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:09.000000","15","50.39","25.3","21.02","53.13","12.72","44.06"
"2013-11-03 18:01:10.000000","1","52.97","43.66","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","2","27.66","28.56","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","5","35.32","30.49","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","7","41.9","38.01","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","8","28.6","39.27","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","9","32.25","12.72","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","10","45.13","14.47","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","12","74.59","71.04","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","13","22.1","17.51","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","14","27.86","18.09","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:10.000000","15","50.34","24.99","21.9","52.99","12.72","43.76"
"2013-11-03 18:01:11.000000","1","52.78","43.7","21.9","52.94","12.72","43.76"
"2013-11-03 18:01:11.000000","2","28.32","27.53","21.9","52.94","12.72","43.76"
"2013-11-03 18:01:11.000000","5","35.5","29.8","21.9","52.94","12.72","43.76"
"2013-11-03 18:01:11.000000","7","41.79","38.08","21.9","52.94","12.72","43.76"
"2013-11-03 18:01:11.000000","8","28.96","39.37","21.9","52.94","12.72","43.76"
