id,time,energy
Player 1 11/03/17,0,497.6320002
Player 1 11/03/17,5,290.2079691
Player 1 11/03/17,10,200.5614132
Player 1 11/03/17,15,300.0835928
Player 1 11/03/17,20,343.0097116
Player 1 11/03/17,25,184.7977697
Player 1 11/03/17,30,308.4486259
Player 1 11/03/17,35,219.0106013
Player 10 11/03/17,0,443.8794826
Player 10 11/03/17,5,340.2415191
Player 10 11/03/17,10,333.7461628
Player 10 11/03/17,15,331.0687117
Player 10 11/03/17,20,322.7200756
Player 10 11/03/17,25,303.4507728
Player 10 11/03/17,30,281.4332499
Player 10 11/03/17,35,384.9808032
Player 10 11/03/17,40,413.8691003
Player 10 11/03/17,45,482.4052362
Player 10 11/03/17,50,301.7371145
Player 10 11/03/17,55,244.60264
Player 10 11/03/17,60,424.915519
Player 10 11/03/17,65,323.2264932
Player 10 11/03/17,70,411.2279275
Player 10 11/03/17,75,60.64766753
Player 10 11/03/17,90,0.112606396
Player 11 11/03/17,30,78.22922949
Player 11 11/03/17,35,1.06E+02
Player 11 11/03/17,40,0.092411111
Player 11 11/03/17,55,105.7715269
Player 11 11/03/17,60,27.00503578
Player 11 11/03/17,70,134.2108584
Player 11 11/03/17,75,66.82430096
Player 11 11/03/17,90,0.069997835
Player 13 11/03/17,0,303.6942438
Player 13 11/03/17,5,245.375139
Player 13 11/03/17,10,239.9730658
Player 13 11/03/17,15,214.1477387
Player 13 11/03/17,20,236.9387701
Player 13 11/03/17,25,332.3854696
Player 13 11/03/17,30,247.4960223
Player 13 11/03/17,35,281.1743573
Player 13 11/03/17,40,219.0787162
Player 13 11/03/17,45,424.4121416
Player 13 11/03/17,50,248.8162387
Player 13 11/03/17,55,207.5124528
Player 13 11/03/17,60,148.9725382
Player 13 11/03/17,65,170.5881699
Player 13 11/03/17,70,301.2771632
Player 13 11/03/17,75,153.2278509
Player 13 11/03/17,80,209.554855
Player 13 11/03/17,85,287.3636186
Player 13 11/03/17,90,195.8533142
Player 14 11/03/17,0,422.0999895
Player 14 11/03/17,5,393.9973145
Player 14 11/03/17,10,258.6091516
Player 14 11/03/17,15,270.5136562
Player 14 11/03/17,20,331.5007867
Player 14 11/03/17,25,363.026869
Player 14 11/03/17,30,292.7049139
Player 14 11/03/17,35,421.7452544
Player 14 11/03/17,40,402.2983099
Player 14 11/03/17,45,572.6343909
Player 14 11/03/17,50,271.0367711
Player 14 11/03/17,55,203.0781444
Player 14 11/03/17,60,363.8688425
Player 14 11/03/17,65,291.0650165
Player 14 11/03/17,70,343.0213623
Player 14 11/03/17,75,268.5958714
Player 14 11/03/17,80,315.0808596
Player 14 11/03/17,85,226.2562826
Player 14 11/03/17,90,334.5647478
Player 15 11/03/17,0,251.9997905
Player 15 11/03/17,5,188.8171403
Player 15 11/03/17,10,176.3019014
Player 15 11/03/17,15,180.4893261
Player 15 11/03/17,20,265.4061979
Player 15 11/03/17,25,142.1342288
Player 15 11/03/17,30,165.7955763
Player 15 11/03/17,35,283.6317091
Player 15 11/03/17,40,210.3748456
Player 15 11/03/17,45,341.8165803
Player 15 11/03/17,50,193.6938432
Player 15 11/03/17,55,189.8975699
Player 15 11/03/17,60,232.3470522
Player 15 11/03/17,65,152.3717906
